3501 35 3 2 1990 -7 -7 -7 -7 6 6 26 25 52 52 76 76 98 98 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 3 16 3 0 28 3 3 37 4 0 47 4 3 56 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
3502 35 3 2 1993 -7 -7 -7 -7 -7 -7 -7 -7 15 15 39 39 61 61 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 3 0 34 3 9 40 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
3701 37 3 2 1990 -7 -7 -7 -7 4 4 28 28 50 50 73 73 100 100 -7 -7 147 147 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 1 16 0 38 30 3 9 44 4 2 48 4 6 54 -7 -7 -7 -7 81 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
4301 43 3 2 1982 40 40 70 70 96 96 117 117 140 140 166 166 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 3 2 38 30 3 9 44 4 1 60 4 4 64 4 8 85 5 3 116 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
4302 43 3 2 1989 -7 -7 -7 -7 20 20 41 41 64 64 89 89 114 114 137 137 161 161 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 3 22 3 2 37 3 7 43 4 2 45 4 7 65 4 11 95 -7 105 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
4303 43 3 2 1997 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 19 19 42 42 66 66 91 91 115 115 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 7 25 3 2 45 -7 45 -7 50 -7 69 -7 69 135 135 -7 75 -7 75 158 158 -7 103 -7 105 -7 -7 -7 -7 -7 -7 532
4304 43 3 2 2000 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 3 3 27 27 52 52 76 76 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 1 10 12 31 25 -7 40 -7 43 -7 43 96 96 45 60 -7 60 119 119 -7 70 -7 70 151 151 -7 117 -7 95 532
4401 44 3 2 1981 53 53 83 83 108 108 129 129 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 3 4 40 34 4 0 50 4 4 60 4 9 86 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
4402 44 3 2 1985 7 7 38 38 62 62 83 83 -7 -7 133 133 156 156 -7 -7 -7 -7 -7 -7 -7 -7 2 3 27 15 3 3 32 3 8 50 4 2 48 -7 -7 -7 4 8 75 5 5 92 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
4601 46 3 2 1994 -7 -7 -7 -7 -7 -7 -7 -7 2 2 27 27 49 49 -7 -7 97 97 123 123 152 143 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 1 10 8 2 1 35 3 8 35 -7 -7 -7 -7 50 -7 64 -7 95 -7 70 -3 166 -7 -7 -7 107 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
4602 46 3 2 1997 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 10 10 -7 -7 59 58 84 84 113 104 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 2 2 20 -7 -7 -7 -7 40 -7 61 -7 77 -7 65 -3 127 -7 -7 -7 98 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 532
